printer,c_bluetooth,c_ethernet,c_usb,c_walk_up,c_wifi,duty_cycle_max,duty_cycle_normal,f_copy,f_fax,f_print,f_scan,mfg_model_number,mfg_model_name,o_adf_capacity,o_borderless,o_duplex,o_duplex_scan,o_staple,o_touchscreen,papersize_max,papersize_supported,ppm_color,ppm_mono,print_technology,available
818,,,,,,,,,,,,M0P33A,HP LaserJet Managed E60055dn,,,,,,,,,,,,True
819,,,,,,,,,,,,M0P35A,HP LaserJet Managed E60065dn,,,,,,,,,,,,True
819,,,,,,,,,,,,M0P36A,HP LaserJet Managed E60065x,,,,,,,,,,,,True
820,,,,,,,,,,,,M0P39A,HP LaserJet Managed E60075dn,,,,,,,,,,,,True
820,,,,,,,,,,,,M0P40A,HP LaserJet Managed E60075x,,,,,,,,,,,,True
821,,,,,,,,,,,,3GY09A,HP LaserJet Managed E60155dn,,,,,,,,,,,,True
822,,,,,,,,,,,,3GY10A,HP LaserJet Managed E60165dn,,,,,,,,,,,,True
823,,,,,,,,,,,,3GY12A,HP LaserJet Managed E60175dn,,,,,,,,,,,,True
824,,,,,,,,,,,,J8J66A,HP LaserJet Managed MFP E62555dn,,,,,,,,,,,,True
825,,,,,,,,,,,,J8J73A,HP LaserJet Managed MFP E62565z,,,,,,,,,,,,True
825,,,,,,,,,,,,J8J74A,HP LaserJet Managed Flow MFP E62565h,,,,,,,,,,,,True
825,,,,,,,,,,,,J8J79A,HP LaserJet Managed Flow MFP E62565z,,,,,,,,,,,,True
1043,,,,,,,,,,,,B7030/HM2,Xerox VersaLink B7030 - Tandem Try & (2) 520 Sheet Trays,,,,,,,,,,,,True
1044,,,,,,,,,,,,B7035/DM2,Xerox VersaLink B7035 - Desktop Version,,,,,,,,,,,,True
1044,,,,,,,,,,,,B7035/SM2,Xerox VersaLink B7035 - Stand & (2) 520 Sheet Trays,,,,,,,,,,,,True
1044,,,,,,,,,,,,B7035/HM2,Xerox VersaLink B7035 - Tandem Try & (2) 520 Sheet Trays,,,,,,,,,,,,True
988,,,,,,,,,,,,B8045/H2,Xerox AltaLink B8045,,,,,,,,,,,,True
989,,,,,,,,,,,,B8055/H2,Xerox AltaLink B8055,,,,,,,,,,,,True
990,,,,,,,,,,,,B8065/H2,Xerox AltaLink B8065,,,,,,,,,,,,True
991,,,,,,,,,,,,B8075/H2,Xerox AltaLink B8075,,,,,,,,,,,,True
992,,,,,,,,,,,,B8090/H2,Xerox AltaLink B8090,,,,,,,,,,,,True
1046,,,,,,,,,,,,C7020/DM2,Xerox VersaLink C7020 - Desktop Version,,,,,,,,,,,,True
1046,,,,,,,,,,,,C7020/SM2,Xerox VersaLink C7020 - Stand & (2) 520 Sheet Trays,,,,,,,,,,,,True
1046,,,,,,,,,,,,C7020/TM2,Xerox VersaLink C7020 - Tandem Try & (2) 520 Sheet Trays,,,,,,,,,,,,True
1047,,,,,,,,,,,,C7025/DM2,Xerox VersaLink C7025 - Desktop Version,,,,,,,,,,,,True
1047,,,,,,,,,,,,C7025/SM2,Xerox VersaLink C7025 - Stand & (2) 520 Sheet Trays,,,,,,,,,,,,True
1047,,,,,,,,,,,,C7025/TM2,Xerox VersaLink C7025 - Tandem Try & (2) 520 Sheet Trays,,,,,,,,,,,,True
1048,,,,,,,,,,,,C7030/DM2,Xerox VersaLink C7030 - Desktop Version,,,,,,,,,,,,True
1048,,,,,,,,,,,,C7030/SM2,Xerox VersaLink C7030 - Stand & (2) 520 Sheet Trays,,,,,,,,,,,,True
1048,,,,,,,,,,,,C7030/TM2,Xerox VersaLink C7030 - Tandem Try & (2) 520 Sheet Trays,,,,,,,,,,,,True
993,,,,,,,,,,,,C8030/T2,Xerox AltaLink C8030,,,,,,,,,,,,True
993,,,,,,,,,,,,C8030/H2,Xerox AltaLink C8030 - High Capacity Tandem Tray,,,,,,,,,,,,True
994,,,,,,,,,,,,C8035/T2,Xerox AltaLink C8035,,,,,,,,,,,,True
994,,,,,,,,,,,,C8035/H2,Xerox AltaLink C8035 - High Capacity Tandem Tray,,,,,,,,,,,,True
995,,,,,,,,,,,,C8045/H2,Xerox AltaLink C8045,,,,,,,,,,,,True
996,,,,,,,,,,,,C8055/H2,Xerox AltaLink C8055,,,,,,,,,,,,True
997,,,,,,,,,,,,C8070/H2,Xerox AltaLink C8070,,,,,,,,,,,,True
1081,,,,,,,,,,,,EC7836/H2,Xerox WorkCentre EC7836,,,,,,,,,,,,True
1084,,,,,,,,,,,,EC7856/H2,Xerox WorkCentre EC7856,,,,,,,,,,,,True
1322,,,,,,,,,,,,32C0401,Lexmark XC9245 Color A3 MFP,,,,,,,,,,,,True
1323,,,,,,,,,,,,32C0402,Lexmark XC9255 Color A3 MFP,,,,,,,,,,,,True
1324,,,,,,,,,,,,32C0403,Lexmark XC9265 Color A3 MFP,,,,,,,,,,,,True
1209,,,,,,,,,,,,35S0040,Lexmark M1145 Mono SFP,,,,,,,,,,,,True
1212,,,,,,,,,,,,35S0041,Lexmark M3150 Mono SFP,,,,,,,,,,,,True
1215,,,,,,,,,,,,40G0730,Lexmark M5163 Mono SFP,,,,,,,,,,,,True
